denomination,siren,nom_commune,libelle_section_naf,activite_declaree,url_annonce
NL SHOP,109986869,Montpellier,"Commerce, reparation d'automobiles",achat-vente de vêtements et accessoires neufs et d'occasion sur internet,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811477
OUAISSA Youssouf,130077167,Montpellier,Secteur non renseigne,"coursier, livraison à domicile et de marchandises sans véhicule motorisé à vélo ou à pied.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811512
ROBISA WILLIAM,109771980,Montpellier,Transports et entreposage,livraison à domicile de repas,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811521
Refeyton Elisa,109716381,Montpellier,Information et communication,montage vidéo,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811518
Reset'nPlay,130055064,Montpellier,"Commerce, reparation d'automobiles","commerce de détail et revente de cartes à collectionner, notamment cartes pokémon, neuves et d'occasion, ainsi que de jeux de société et produits de loisirs, vendus principalement en ligne et par correspondance.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811491
SCI LES BRO'S,109651158,Montpellier,Activites immobilieres,acquisition et gestion locative,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811554
SESAME France S.A.S.,130195118,Montpellier,Information et communication,"la conception, la programmation de logiciels, sites web et outils informatiques, ainsi que la gestion de projets y relatifs. - la création et l'hébergement de sites internet. - l'exploitation d'une marketplace (plateforme digitale de mise en relation) permettant aux professionnels et particuliers de publier, consulter et rechercher des annonces. - conseil et assistance aux entreprises dans les domaines du digital et des nouvelles technologies. - achat et vente de cryptomonnaies sur des plateformes spécialisées, incluant la spéculation et la gestion des portefeuilles numériques. - vente en ligne de produits digitaux : ebooks, guides, vidéos, templates. - promotion d'entreprises, produits ou services en ligne, via les réseaux sociaux, la publicité sur internet et le référencement sur les moteurs de recherche.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811555
Salih Azzedine,109924662,Montpellier,Transports et entreposage,coursier à vélo uber/deliveroo,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811524
YM,130241490,Montpellier,"Commerce, reparation d'automobiles","commerce de détail de cigarettes électroniques, e-liquides, accessoires pour chicha, articles pour fumeurs et accessoires de vapotage.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811556
Yugen Studio,109885822,Montpellier,Information et communication,"la conception, la production, la réalisation et la diffusion de publicités audiovisuelles, incluant les publicités vidéo destinées à la télévision, au cinéma, à internet ou à d'autres supports de diffusion, ainsi que les publicités audiovisuelles statiques telles que les bannières publicitaires et les publicités animées ; la conception, la création et la réalisation de projets audiovisuels et visuels, incluant la production de vidéos promotionnelles, de clips publicitaires, de vidéos institutionnelles, d'animations, de graphismes, d'illustrations et de tout contenu audiovisuel ou visuel à des fins commerciales ou de communication ; le conseil en stratégie de communication et en marketing, la conception, la mise en œuvre et le pilotage de campagnes et d'actions de marketing et de communication, sur tous supports et canaux, y compris numériques ; et, plus généralement, toutes opérations industrielles, commerciales, financières, mobilières ou immobilières, se rapportant directement ou indirectement à l'objet social ou susceptibles d'en faciliter l'extension ou le développement.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811557
elite transports,530936814,Montpellier,Transports et entreposage,"livraison à domicile sans véhicule motorisée - achats, ventes, locations, exportations, transports ,convoyeurs de véhicules neufs et occasions.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811485
ilyes badri,109589937,Montpellier,Transports et entreposage,livreur de repas a domicile a vélo,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811528
Plombs Occitan,130181803,Olonzac,Secteur non renseigne,"fabrication artisanale de lests et accessoires pour la pêche à partir de pierres naturelles, avec perçage et ajout d'un fil métallique, destinés à la pêche de loisir. - vente à distance des lests et accessoires de pêche fabriqués par l'entreprise.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811433
Kromatyk,882318181,Palavas-les-Flots,Information et communication,"édition, développement et commercialisation de logiciels applicatifs en mode saas (software as a service). vente d'abonnements et de licences logicielles à des entreprises et particuliers - vente à distance de produits physiques via internet (e-commerce et dropshipping). commerce de détail en ligne sans magasin physique",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811495
"bentafat ilyes, belkacem, claude, saadi, ali",130052632,Palavas-les-Flots,"Commerce, reparation d'automobiles",achat et revente en ligne de produits divers non réglementés auprès de particuliers,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811529
PCD Réflexe,109499574,Portiragnes,Secteur non renseigne,"travaux de petit bricolage dits "" homme toutes mains"". - formation et sensibilisation aux premiers secours, au secourisme et à la prévention des risques professionnels, notamment formation sauveteur secouriste du travail (sst), dans le respect des certifications et habilitations requises. - prestations de surveillance et de sauvetage des baignades, plages, plans d'eau et piscines, surveillance aquatique et prestations de sauveteur dans le cadre des qualifications professionnelles détenues, notamment bnssa , ssa - vente à distance de produits non alimentaires via une boutique en ligne , avec achat-revente de marchandises concernant des vêtements pour adultes et enfants (prêt‑à‑porter, sous‑vêtements, vêtements de sport); vente d'accessoires et équipements de sport; vente d'articles de décoration d'intérieur (textiles, objets décoratifs, luminaires); vente d'accessoires pour la maison (linge de maison, petits objets utilitaires)",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811442
Angel's Travel,109827758,Pouzolles,Secteur non renseigne,"activité d'apport d'affaires, de conseil et d'accompagnement commercial dans la domaine du tourisme. recherche et présentation de prestations touristiques commercialisées par une plateforme partenaire. mise en relation et accompagnement des clients dans leurs projets de voyage. les prestations touristiques sont commercialisées et réservées par l'intermédiaire d'une plateforme partenaire. rémunération sous forme de commissions versées par la plateforme partenaire.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811441
SCI TRADITIO,130165863,Puimisson,Activites immobilieres,"l'acquisition, en état futur d'achèvement ou achevés, l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente (à l'exclusion de toute opération de nature commerciale), la mise à disposition à titre gratuit au profit de l'un des associés, de tous biens et droits immobiliers, ainsi que de tous biens et droits pouvant constituer l'accessoire, l'annexe ou le complément des biens et droits immobiliers en question.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811456
L'empreinte des temps,130127608,Pézenas,"Commerce, reparation d'automobiles","achat et revente d'objets d'art, antiquités, brocante et biens d'occasion par internet et sur des salons spécialisés",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811435
XERESA,130228950,Pézenas,Activites immobilieres,"l'acquisition d'un immeuble, l'administration et l'exploitation par bail, location ou autrement dudit immeuble et de tous autres immeubles bâtis dont elle pourrait devenir propriétaire ultérieurement, par voie d'acquisition, échange, apport ou autrement",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811458
Imperiale.D,109718528,Saint-Gély-du-Fesc,Secteur non renseigne,"vente de foulards, châles, étoles, vêtements et accessoires en soie.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811526
NOVAPERF,130244577,Saint-Jean-de-Védas,Sante humaine et action sociale,"la coordination, l'organisation, la mise en place et le suivi de prestations de santé et de soins à domicile, notamment dans le domaine de la perfusion et des traitements associés, ainsi que l'accompagnement des patients et la coordination des différents intervenants de santé (professionnels de santé libéraux, établissements de santé, prestataires de services).",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811548
Clarté Assist,999767866,Saint-Mathieu-de-Tréviers,"Activites specialisees, scientifiques et techniques","création, édition et vente à distance de contenus numériques téléchargeables et de livres en auto-édition (support numérique et papier) via des plateformes en ligne.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811503
GLAGLA,109956995,Saint-Mathieu-de-Tréviers,"Commerce, reparation d'automobiles",vente de glaces italiennes et granités,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811484
LAULY INVEST,130197841,Saint-Sériès,"Activites specialisees, scientifiques et techniques",toutes prises de participations et de détention de titres,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811541
SBboutique,130065204,Sauvian,"Commerce, reparation d'automobiles","commerce de détail en ligne de produits cosmétiques, produits de beauté, parfumerie, soins du visage et du corps, articles de toilette et accessoires de beauté. achat et revente de produits neufs auprès de fournisseurs, commercialisés principalement par l'intermédiaire d'un site internet de commerce électronique.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811425
MAT.LOC.CAVALLO,988719043,Servian,Secteur non renseigne,la location de véhicules terrestres à moteur sans chauffeur,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811432
Brakni Salim,109750109,Sète,Hebergement et restauration,traiteur sans vente de boisson alcoolisées,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811482
Imaginary Folklore,130046907,Sète,"Arts, spectacles et activites recreatives","organisation, coordination et mise en œuvre de concerts, spectacles et événements à caractère musical et culturel.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811496
"Joly Melody, Marie-Rose",849560743,Sète,Transports et entreposage,"activité de coursier et livraison à domicile de marchandises et de produits, effectuée exclusivement à vélo.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811497
"KLEIN Laurent, Jean, Guillaume",483424099,Sète,Activites financieres et d'assurance,"courtage en crédits immobiliers, regroupement de crédits, services de paiement et courtage en assurances.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811498
"MARTIN Kylian, patrick, mickaël",109791129,Sète,Services administratifs et de soutien,"organisation et coordination de foires, salons professionnels et évènements, dont défilés de mode, dans le secteur du luxe : gestion technique et globale, gestion de prestataires, supervision des installations et désinstallations de mobilier et d'éléments de décor",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811505
Trois & moi,802447300,Sète,"Commerce, reparation d'automobiles","achat et revente au détail, principalement par internet et via des plateformes de vente en ligne, de bijoux fantaisie, accessoires de mode, vêtements, articles textiles, objets de décoration, cadeaux et articles saisonniers - vente au détail sur marchés, foires, salons et autres évènements, de bijoux fantaisie, accessoires de mode, vêtements, articles textiles, objets de décoration, cadeaux, articles saisonniers et créations artisanales",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811530
MASSILLAN PATRIMOINE,130137797,Teyran,Secteur non renseigne,"- l'acquisition, la propriété (par voie d'apport ou autrement), la gestion et la vente (exceptionnelle) de toutes valeurs mobilières, parts sociales et droits sociaux en général ; - la prise de participation, sous quelque forme que ce soit, directement ou indirectement, notamment par voie de souscription, d'apport ou d'achat de titres sociaux, dans toutes sociétés ; - la mise en valeur, l'administration et l'exploitation, par location ou autrement, et la vente (exceptionnelle) de tous immeubles ou droits immobiliers dont elle pourrait devenir propriétaire, par voie d'apport, d'acquisition, d'échange ou autrement.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811545
SCI CAPMED,109887612,Thézan-lès-Béziers,Secteur non renseigne,"l'acquisition, l'administration, la gestion par location ou autrement de tous immeubles et biens immobiliers ; la propriété, la gestion, et plus généralement l'exploitation par bail, location ou toute autre forme que ce soit, d'immeubles et terrains que la société se propose d'acquérir ou bâtir, et toutes opérations financières, mobilières ou immobilières de caractère purement civil et se rattachant à l'objet social ;la possibilité d'affecter des biens sociaux et/ou immeubles en garantie de prêts souscrits par les associés ou les usufruitiers des parts sociales, à titre occasionnel et dans la limite de l'objet civil de la société ; l'acquisition, la prise de participation, la gestion et la cession de tous titres, valeurs mobilières, participations financières, dans toutes affaires, entreprises, sociétés commerciales, industrielles, financières, mobilières ou immobilières, ainsi que l'exercice de tous les droits attachés à ces participations et valeurs mobilières ; la possibilité d'affecter totalement ou partiellement ses locaux à titre gratuit à l'un de ses associés.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811453
PLUS VERT,130154107,Vendargues,Secteur non renseigne,"la réalisation de tous travaux de paysagiste, création, d'aménagement et d'entretien d'espaces verts, de jardins et de parcs à l'exception de l'activité de conception ou de maîtrise d'oeuvre paysagère. l'achat, la vente et la location de végétaux, matériaux, matériels et fournitures nécessaires à l'exercice de cette activité. formation.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811551
MAS,328018387,Vias,Transports et entreposage,livraison et vente de produits alimentaires et non alimentaires,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811429
DOUNS,130074842,Villeneuve-lès-Béziers,Secteur non renseigne,"influenceuse et créatrice de contenus numériques : promotion commerciale de produits et services sur les réseaux sociaux, notamment tiktok et snapchat. - achat et revente de robes, vêtements et accessoires de mode neufs, vente au détail à distance sur internet et les réseaux sociaux, notamment tiktok.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811437
ZNR Rider,484427067,Villetelle,Transports et entreposage,coursiers,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811478
