jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34240,M,Saint-Aunès,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,1,0,0,0,0,0,4,5,-1
2026-09-22,30,34270,L,Saint-Jean-de-Védas,Activites immobilieres,1,0,1,0,0,0,0,0,1,0,1,2,5,0
2026-09-22,30,34298,G,Sauvian,"Commerce, reparation d'automobiles",1,0,0,0,0,1,0,0,0,0,0,3,5,0
2026-09-22,30,34301,N,Sète,Services administratifs et de soutien,1,0,1,0,1,1,0,0,0,0,0,1,5,0
2026-09-22,30,34327,N,Vendargues,Services administratifs et de soutien,1,0,0,0,1,2,0,0,0,0,0,1,5,-1
2026-09-22,30,34327,C,Vendargues,Industrie manufacturiere,0,0,0,0,0,0,0,0,0,0,0,5,5,0
2026-09-22,30,34336,F,Villeneuve-lès-Béziers,Construction,0,0,1,0,0,0,0,0,0,0,0,4,5,0
2026-09-22,30,34344,S,La Grande-Motte,Autres activites de services,1,0,0,0,1,2,0,0,0,0,0,1,5,-1
2026-09-22,30,34003,H,Agde,Transports et entreposage,3,0,0,0,0,1,0,0,0,0,0,0,4,2
2026-09-22,30,34022,L,Baillargues,Activites immobilieres,0,0,0,0,1,0,0,0,0,0,0,3,4,0
2026-09-22,30,34022,M,Baillargues,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,1,0,1,3,4,-1
2026-09-22,30,34028,G,Bédarieux,"Commerce, reparation d'automobiles",0,0,0,0,0,2,0,0,0,0,0,2,4,-2
2026-09-22,30,34052,G,Capestang,"Commerce, reparation d'automobiles",0,0,1,0,2,1,0,0,0,0,0,0,4,-1
2026-09-22,30,34058,G,Castries,"Commerce, reparation d'automobiles",1,0,0,0,0,0,0,0,0,0,0,3,4,1
2026-09-22,30,34058,L,Castries,Activites immobilieres,0,0,0,0,1,0,0,0,0,0,0,3,4,0
