jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34023,M,Balaruc-les-Bains,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34023,G,Balaruc-les-Bains,"Commerce, reparation d'automobiles",0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34023,N,Balaruc-les-Bains,Services administratifs et de soutien,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34023,Q,Balaruc-les-Bains,Sante humaine et action sociale,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34024,H,Balaruc-le-Vieux,Transports et entreposage,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34024,F,Balaruc-le-Vieux,Construction,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34025,G,Bassan,"Commerce, reparation d'automobiles",1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34025,H,Bassan,Transports et entreposage,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
2026-09-22,30,34027,N,Beaulieu,Services administratifs et de soutien,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34027,E,Beaulieu,"Eau, assainissement, dechets",1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34027,L,Beaulieu,Activites immobilieres,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34028,S,Bédarieux,Autres activites de services,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
2026-09-22,30,34031,D,Bessan,Production et distribution d'energie,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34031,L,Bessan,Activites immobilieres,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34031,M,Bessan,"Activites specialisees, scientifiques et techniques",0,0,0,0,1,0,0,0,0,0,0,0,1,0
2026-09-22,30,34031,S,Bessan,Autres activites de services,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2026-09-22,30,34032,R,Béziers,"Arts, spectacles et activites recreatives",1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34032,D,Béziers,Production et distribution d'energie,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34032,Z,Béziers,Secteur non renseigne,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2026-09-22,30,34033,F,Boisseron,Construction,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34036,I,Le Bosc,Hebergement et restauration,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34036,D,Le Bosc,Production et distribution d'energie,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34039,J,Bouzigues,Information et communication,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34039,L,Bouzigues,Activites immobilieres,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2026-09-22,30,34044,G,Cabrerolles,"Commerce, reparation d'automobiles",0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34047,E,Campagnan,"Eau, assainissement, dechets",0,0,0,0,0,1,0,0,0,0,0,0,1,-1
2026-09-22,30,34047,G,Campagnan,"Commerce, reparation d'automobiles",0,0,0,0,1,0,0,0,0,0,0,0,1,0
2026-09-22,30,34047,J,Campagnan,Information et communication,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34050,J,Candillargues,Information et communication,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
2026-09-22,30,34050,K,Candillargues,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34051,G,Canet,"Commerce, reparation d'automobiles",1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34052,J,Capestang,Information et communication,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34052,P,Capestang,Enseignement,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34056,F,Castelnau-de-Guers,Construction,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34057,P,Castelnau-le-Lez,Enseignement,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34057,J,Castelnau-le-Lez,Information et communication,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34057,K,Castelnau-le-Lez,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34057,Q,Castelnau-le-Lez,Sante humaine et action sociale,0,0,0,0,1,0,0,0,0,0,0,0,1,0
